Unnamed: 0,number,driver_number,lap_number,lap_time,lap_improvement,crossing_finish_line_in_pit,s1,s1_improvement,s2,s2_improvement,s3,s3_improvement,kph,elapsed,hour,s1_large,s2_large,s3_large,top_speed,driver_name,pit_time,class,group,team,manufacturer,season,circuit,round,vehicle,flag_at_fl,team_no,lap_time_ms,lap_time_s,engine,driver_stint_no,driver_stint,team_stint_no,team_stint,elapsed_ms,position,class_position,interval_ms,interval,gap,class_interval,class_gap,elapsed_s
387072,51,2,108,0 days 00:01:59.904000,0,,37.721,0,43.826,0,38.357,0,162.5,0 days 03:39:57.324000,18:39:36.598,0 days 00:00:37.721000,0 days 00:00:43.826000,0 days 00:00:38.357000,256.8,Alessandro PIER GUIDI,,LMGTE Pro,,AF Corse,Ferrari,2019-2020,BAHRAIN INTERNATIONAL CIRCUIT 2019,4,Ferrari 488 GTE Evo,,AF Corse #51,119904.0,119.904,Ferrari,3,Alessandro PIER GUIDI Stint #3,4,AF Corse #51 Stint #4,13197324,15.0,1.0,412362.0,412.362,1096.538,0.0,0.0,13197.324
230248,78,2,19,0 days 00:01:42.617000,0,,22.252,0,31.869,0,48.496,0,160.1,0 days 00:32:27.237000,11:30:56.325,0 days 00:00:22.252000,0 days 00:00:31.869000,0 days 00:00:48.496000,258.4,Joël CAMATHIAS,,LMGTE Am,,KCMG,Porsche,2016,FUJI SPEEDWAY,7,Porsche 911 RSR,,KCMG #78,102617.0,102.617,Porsche,1,Joël CAMATHIAS Stint #1,1,KCMG #78 Stint #1,1947237,30.0,5.0,4406.0,4.406,313.071,4.406,19.32,1947.237
251712,77,0,5,0 days 00:02:23.245000,0,,40.459,0,65.689,0,37.097,0,176.0,0 days 00:12:00.290000,14:42:42.243,0 days 00:00:40.459000,0 days 00:01:05.689000,0 days 00:00:37.097000,258.6,Christian RIED,,LMGTE Am,,Dempsey-Proton Racing,Porsche,2017,SPA FRANCORCHAMPS,2,Porsche 911 RSR,,Dempsey-Proton Racing #77,143245.0,143.245,Porsche,1,Christian RIED Stint #1,1,Dempsey-Proton Racing #77 Stint #1,720290,27.0,2.0,12144.0,12.144,127.297,12.144,12.144,720.29
118101,71,1,177,0 days 00:01:41.584000,0,,21.992,0,31.012,0,48.58,0,161.7,0 days 05:08:58.421000,16:08,0 days 00:00:21.992000,0 days 00:00:31.012000,0 days 00:00:48.580000,263.4,James CALADO,,LMGTE Pro,,AF Corse,Ferrari,2014,FUJI SPEEDWAY,5,Ferrari 458 Italia GT2,,AF Corse #71,101584.0,101.584,Ferrari,3,James CALADO Stint #3,6,AF Corse #71 Stint #6,18538421,14.0,2.0,11776.0,11.776,2304.695,11.776,11.776,18538.421
143048,22,0,20,0 days 00:03:47.997000,0,,36.7,0,86.541,0,104.756,0,215.2,0 days 01:27:36.301000,16:27,0 days 00:00:36.700000,0 days 00:01:26.541000,0 days 00:01:44.756000,283.2,Harry TINCKNELL,,LMP1,H,Nissan Motorsports,Nissan,2015,LE MANS,3,Nissan GT-R LM Nismo,,Nissan Motorsports #22,227997.0,227.997,Nissan,2,Harry TINCKNELL Stint #2,2,Nissan Motorsports #22 Stint #2,5256301,16.0,11.0,4827.0,4.827,429.383,4.827,378.07,5256.301
478318,35,2,140,0 days 00:01:54.695000,0,,34.023,0,39.788,0,40.884,0,188.9,0 days 05:13:07.281000,17:13:21.198,0 days 00:00:34.023000,0 days 00:00:39.788000,0 days 00:00:40.884000,253.6,Matthieu LAHAYE,,LMP2,P/A,Ultimate,Oreca,2022,SEBRING,1,Oreca 07,GF,Ultimate #35,114695.0,114.695,Gibson,4,Matthieu LAHAYE Stint #4,8,Ultimate #35 Stint #8,18787281,13.0,10.0,51061.0,51.061,557.256,51.061,280.358,18787.281
158362,99,2,10,0 days 00:02:37.310000,0,,94.344,0,44.392,0,18.574,0,117.6,0 days 00:21:54.236000,13:21,0 days 00:01:34.344000,0 days 00:00:44.392000,0 days 00:00:18.574000,253.2,Richie STANAWAY,,LMGTE Pro,,Aston Martin Racing V8,Aston Martin,2015,NURBURGRING,4,Aston Martin Vantage GT2,,Aston Martin Racing V8 #99,157310.0,157.31,Aston Martin,1,Richie STANAWAY Stint #1,1,Aston Martin Racing V8 #99 Stint #1,1314236,19.0,3.0,1825.0,1.825,291.32800000000003,1.825,8.293,1314.236
467490,29,2,36,0 days 00:01:54.752000,0,,36.05,0,42.741,0,35.961,0,169.8,0 days 01:09:46.458000,15:09:30.202,0 days 00:00:36.050000,0 days 00:00:42.741000,0 days 00:00:35.961000,263.0,Giedo VAN DER GARDE,,LMP2,P/A,Racing Team Nederland,Oreca,2021,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,6,Oreca 07,,Racing Team Nederland #29,114752.0,114.752,Gibson,2,Giedo VAN DER GARDE Stint #2,2,Racing Team Nederland #29 Stint #2,4186458,3.0,1.0,101793.0,101.793,105.834,0.0,0.0,4186.458
369338,70,1,326,0 days 00:04:02.073000,0,,38.271,0,92.09,0,111.712,0,202.6,0 days 23:55:39.693000,14:55:58.723,0 days 00:00:38.271000,0 days 00:01:32.090000,0 days 00:01:51.712000,288.5,Motoaki ISHIKAWA,,LMGTE Am,,MR Racing,Ferrari,2018-2019,LE MANS 2019,8,Ferrari 488 GTE,,MR Racing #70,242073.0,242.073,Ferrari,10,Motoaki ISHIKAWA Stint #10,29,MR Racing #70 Stint #29,86139693,44.0,12.0,283682.0,283.682,12843.634,283.682,1262.366,86139.693
351001,97,2,108,0 days 00:02:34.314000,0,,42.309,0,73.213,0,38.792,0,163.4,0 days 04:53:41.533000,18:24:45.095,0 days 00:00:42.309000,0 days 00:01:13.213000,0 days 00:00:38.792000,215.0,Maxime MARTIN,,LMGTE Pro,,Aston Martin Racing,Aston Martin,2018-2019,SPA FRANCORCHAMPS 2019,7,Aston Martin Vantage GTE,,Aston Martin Racing #97,154314.0,154.314,Aston Martin,5,Maxime MARTIN Stint #5,8,Aston Martin Racing #97 Stint #8,17621533,15.0,1.0,298908.0,298.908,1555.173,0.0,0.0,17621.533
